文物名称,展厅,时期,参观顺序,是否镇馆之宝,文物种类,所属领域,人员类别,,,,,,,,,
邾公华青铜甬钟,春秋战国时期,春秋战国时期,152,f,铜器,"[""乐器"", ""礼制""]",0,,,,,,,,,
狼噬牛纹金牌饰,春秋战国时期,春秋战国时期,153,f,金银器,"[""饰品"", ""纹饰""]",0,,,,,,,,,
双兽三轮青铜盘,春秋战国时期,春秋战国时期,154,f,铜器,"[""饮食"", ""科技"", ""纹饰""]",0,,,,,,,,,
曲刃青铜剑,春秋战国时期,春秋战国时期,155,f,铜器,"[""武器""]",0,,,,,,,,,
青铜尊,春秋战国时期,春秋战国时期,156,f,铜器,"[""礼制"", ""纹饰""]",0,,,,,,,,,
靴形青铜钺,春秋战国时期,春秋战国时期,157,f,铜器,"[""武器""]",0,,,,,,,,,
人首方柱形青铜器,春秋战国时期,春秋战国时期,158,f,铜器,"[""礼制""]",0,,,,,,,,,
虎纹青铜钲,春秋战国时期,春秋战国时期,159,f,铜器,"[""乐器"", ""纹饰""]",0,,,,,,,,,
错金银犀牛青铜带钩,春秋战国时期,春秋战国时期,160,f,铜器,"[""饰品"", ""纹饰""]",0,,,,,,,,,
吴王夫差青铜剑,春秋战国时期,春秋战国时期,161,f,铜器,"[""武器""]",0,,,,,,,,,
龙梁原始瓷壶,春秋战国时期,春秋战国时期,162,f,瓷器,"[""饮食""]",0,,,,,,,,,
陶俑,秦汉时期,秦汉时期,163,f,陶器,"[""雕像""]",0,,,,,,,,,
陶马_1,秦汉时期,秦汉时期,164,f,陶器,"[""雕像""]",0,,,,,,,,,
琅琊刻石,秦汉时期,秦汉时期,165,f,石器石刻,"[""书法""]",0,,,,,,,,,
两诏青铜版,秦汉时期,秦汉时期,166,f,铜器,"[""仪器""]",0,,,,,,,,,
半两青铜钱及石钱范,秦汉时期,秦汉时期,167,f,钱币,"[""货币""]",0,,,,,,,,,
彩绘陶兵马俑,秦汉时期,秦汉时期,168,f,陶器,"[""雕像"", ""绘画""]",0,,,,,,,,,
金缕玉柙,秦汉时期,秦汉时期,169,t,玉器宝石,"[""服装""]",0,,,,,,,,,
汉并天下瓦当,秦汉时期,秦汉时期,170,f,砖瓦,"[""建筑"", ""纹饰""]",0,,,,,,,,,
单于天降瓦当,秦汉时期,秦汉时期,171,f,砖瓦,"[""建筑"", ""纹饰""]",0,,,,,,,,,
王莽钱币,秦汉时期,秦汉时期,172,f,钱币,"[""货币""]",0,,,,,,,,,
国宝金匮直万铜钱,秦汉时期,秦汉时期,173,f,钱币,"[""货币""]",0,,,,,,,,,
青铜方斗,秦汉时期,秦汉时期,174,f,铜器,"[""仪器""]",0,,,,,,,,,
绿釉陶楼,秦汉时期,秦汉时期,175,f,陶器,"[""建筑""]",0,,,,,,,,,
陶坞堡,秦汉时期,秦汉时期,176,f,陶器,"[""建筑""]",0,,,,,,,,,
陶部曲俑,秦汉时期,秦汉时期,177,f,陶器,"[""雕像""]",0,,,,,,,,,
铁犁铧铁犁壁,秦汉时期,秦汉时期,178,f,其他,"[""农耕""]",0,,,,,,,,,
带辘轳水槽的陶井,秦汉时期,秦汉时期,179,f,陶器,"[""建筑"", ""科技""]",0,,,,,,,,,
鎏金青铜尊,秦汉时期,秦汉时期,180,f,铜器,"[""饮食"", ""纹饰"", ""陈设品""]",0,,,,,,,,,
彩绘雁鱼青铜釭灯,秦汉时期,秦汉时期,181,f,铜器,"[""陈设品"", ""绘画""]",0,,,,,,,,,
彩绘陶仓,秦汉时期,秦汉时期,182,f,陶器,"[""建筑"", ""农耕"", ""绘画""]",0,,,,,,,,,
错金银云纹青铜犀尊,秦汉时期,秦汉时期,183,t,铜器,"[""礼制"", ""纹饰"", ""陈设品""]",0,,,,,,,,,
错金银鸟篆纹青铜壶,秦汉时期,秦汉时期,184,f,铜器,"[""书法"", ""纹饰"", ""饮食""]",0,,,,,,,,,
永初六年钢刀,秦汉时期,秦汉时期,185,f,其他,"[""武器""]",0,,,,,,,,,
鎏金熊形青铜镇,秦汉时期,秦汉时期,186,f,铜器,"[""陈设品"", ""雕像""]",0,,,,,,,,,
银釦马蹄形漆盒,秦汉时期,秦汉时期,187,f,漆器,"[""饰品""]",0,,,,,,,,,
彩绘龙虎纹陶壶,秦汉时期,秦汉时期,188,f,陶器,"[""绘画"", ""纹饰""]",0,,,,,,,,,
青瓷四系罐,秦汉时期,秦汉时期,189,f,瓷器,"[""饮食""]",0,,,,,,,,,
延年益寿大宜子孙锦袜,秦汉时期,秦汉时期,190,f,服饰,"[""服装""]",0,,,,,,,,,
乘云绣,秦汉时期,秦汉时期,191,f,服饰,"[""服装"", ""纹饰""]",0,,,,,,,,,
印花敷彩纱,秦汉时期,秦汉时期,192,f,服饰,"[""服装"", ""纹饰""]",0,,,,,,,,,
陶仓,秦汉时期,秦汉时期,193,f,陶器,"[""饮食"", ""农耕""]",0,,,,,,,,,
陶猪圈,秦汉时期,秦汉时期,194,f,陶器,"[""建筑"", ""农耕""]",0,,,,,,,,,
陶灶,秦汉时期,秦汉时期,195,f,陶器,"[""饮食""]",0,,,,,,,,,
龙纹空心砖,秦汉时期,秦汉时期,196,f,砖瓦,"[""建筑"", ""纹饰""]",0,,,,,,,,,
绿釉陶水亭,秦汉时期,秦汉时期,197,f,陶器,"[""建筑"", ""雕像""]",0,,,,,,,,,
三合式陶屋_2,秦汉时期,秦汉时期,198,f,陶器,"[""建筑""]",0,,,,,,,,,
辎车画像砖,秦汉时期,秦汉时期,199,f,砖瓦,"[""建筑"", ""绘画""]",0,,,,,,,,,
宅院画像砖,秦汉时期,秦汉时期,200,f,砖瓦,"[""建筑"", ""绘画""]",0,,,,,,,,,
盐场画像砖,秦汉时期,秦汉时期,201,f,砖瓦,"[""建筑"", ""绘画""]",0,,,,,,,,,
收获渔猎画像砖,秦汉时期,秦汉时期,202,f,砖瓦,"[""绘画"", ""农耕"", ""狩猎""]",0,,,,,,,,,
市楼画像砖,秦汉时期,秦汉时期,203,f,砖瓦,"[""建筑"", ""绘画""]",0,,,,,,,,,
舂米画像砖,秦汉时期,秦汉时期,204,f,砖瓦,"[""绘画"", ""农耕""]",0,,,,,,,,,
酿酒画像砖,秦汉时期,秦汉时期,205,f,砖瓦,"[""绘画"", ""饮食""]",0,,,,,,,,,
松塔形墨,秦汉时期,秦汉时期,206,f,其他,"[""文房四宝""]",0,,,,,,,,,
旱滩坡带字纸,秦汉时期,秦汉时期,207,f,其他,"[""文房四宝""]",0,,,,,,,,,
石砚及研石,秦汉时期,秦汉时期,208,f,石器石刻,"[""文房四宝""]",0,,,,,,,,,
日晷,秦汉时期,秦汉时期,209,f,石器石刻,"[""仪器"", ""科技""]",0,,,,,,,,,
青铜漏壶,秦汉时期,秦汉时期,210,f,铜器,"[""仪器"", ""科技""]",0,,,,,,,,,
医工青铜盆,秦汉时期,秦汉时期,211,f,铜器,"[""仪器"", ""科技""]",0,,,,,,,,,
平索戏车车骑出行画像砖,秦汉时期,秦汉时期,212,f,砖瓦,"[""建筑"", ""绘画""]",0,,,,,,,,,
观伎画像砖,秦汉时期,秦汉时期,213,f,砖瓦,"[""建筑"", ""绘画""]",0,,,,,,,,,
彩绘石骑马人,秦汉时期,秦汉时期,214,f,石器石刻,"[""雕像""]",0,,,,,,,,,
