YEAR,DOY,ALLSKY_SFC_UVB,ALLSKY_SFC_UVA,ALLSKY_SFC_PAR_TOT,RH2M,WS2M,PS,GWETROOT,GWETPROF,WD2M,PRECTOTCORR,T2M_MAX,T2M_MIN
2024,224,0.04,1.35,10.7,67.3,1.82,99.73,0.65,0.64,268.6,0.01,35.85,25.52
2024,225,0.04,1.46,11.34,65.39,1.26,99.89,0.64,0.63,260.5,0.04,37.45,23.52
2024,226,0.03,1.12,8.5,68.81,1.29,100.17,0.63,0.62,23.6,0.16,36.75,25.12
2024,227,0.03,1.22,9.6,74.02,2.11,100.33,0.62,0.61,43.1,0.36,35.05,25.95
2024,228,0.03,1.24,9.77,77.49,2.38,100.3,0.61,0.6,48.8,3.45,34.24,25.72
2024,229,0.03,1.31,10.35,73.47,2.23,100.28,0.61,0.6,60.9,1.01,35.77,25.72
2024,230,0.03,1.15,9.07,71.84,1.69,100.38,0.6,0.59,70.7,0.01,35.81,25.77
2024,231,0.03,0.94,7.15,80.09,0.61,100.27,0.61,0.6,171.1,15.49,32.28,26.9
2024,232,0.02,0.85,6.38,77.96,0.7,100.05,0.63,0.61,247,13.25,33.79,25.26
2024,233,0.04,1.4,11.1,75.87,1.31,100.14,0.63,0.61,48.5,0.6,35.32,24.9
2024,234,0.04,1.38,10.96,71.82,1.1,100.2,0.62,0.61,203.4,0.17,35.85,26.22
2024,235,0.03,1.34,10.72,76.54,2.5,100.21,0.61,0.6,199.2,0.03,36.3,25.65
2024,236,0.03,1.3,10.42,74.96,2.28,100.33,0.6,0.59,189.4,0.03,36.29,27.49
2024,237,0.03,1.21,9.33,75.88,1.07,100.42,0.6,0.59,186.5,0.16,34.91,28.1
2024,238,0.03,1.33,10.63,70.09,1.21,100.32,0.59,0.58,197.3,0.07,37.28,28.15
2024,239,0.03,1.18,9.46,73.27,1.98,100.07,0.59,0.58,212.7,3.12,36.67,26.61
2024,240,0.03,0.94,6.98,75.85,3.17,100.28,0.6,0.58,15.8,10.8,32.79,23.9
2024,241,0.01,0.5,3.6,77.34,3.28,100.36,0.6,0.59,3.7,4.41,30.62,21.83
2024,242,0.02,0.91,6.9,75.52,1.71,100.38,0.59,0.58,45.6,0.06,32.57,23.35
2024,243,0.03,1.23,9.73,69.89,0.97,100.39,0.59,0.58,156.2,0.01,35.65,25.59
2024,244,0.03,1.28,10.14,70.39,1.55,100.46,0.58,0.57,207.7,0,37.07,26.76
2024,245,0.03,1.31,10.44,66.86,1.92,100.3,0.57,0.57,209.6,0,39.02,26.49
2024,246,0.02,0.89,7.53,69.1,1.51,100.4,0.57,0.56,60,1.39,38.61,28.69
2024,247,0.03,1.2,9.68,71.94,2.3,100.46,0.56,0.56,86.4,0.06,37.65,27.86
2024,248,0.03,1.31,10.44,68.57,1.89,100.14,0.56,0.55,112.5,0.31,37.88,27.07
2024,249,0.03,1.17,9.48,65.44,3.56,100.25,0.55,0.55,35,0.1,38.46,27.62
2024,250,0.03,1.05,8.64,66.97,3.73,100.57,0.54,0.54,44.9,0,36.37,25.39
2024,251,0.03,1.15,9.25,70.84,2.52,100.72,0.54,0.54,73.7,0.01,35.79,26.29
2024,252,0.03,1.15,9.24,65.04,2.07,100.6,0.54,0.53,102.3,0,38.66,27.07
2024,253,0.03,1.22,9.89,63.87,1.96,100.44,0.53,0.53,112.9,0,38.87,27.82
2024,254,0.03,1.15,9.12,63.64,1.93,100.51,0.53,0.52,64.4,0.08,37.88,27.46
2024,255,0.02,0.85,6.45,66.91,4.47,100.82,0.52,0.52,25.4,0.37,34.03,25.39
2024,256,0.01,0.35,2.45,80.35,2.84,100.63,0.52,0.52,0.8,3.81,30.15,23.21
2024,257,0.01,0.5,3.61,70.59,0.9,100.46,0.52,0.52,356.5,0.07,34.49,22.56
2024,258,0.02,0.88,6.87,69.16,1.54,100.23,0.52,0.52,37.2,0,35.29,23.79
2024,259,0.03,0.95,7.45,71.22,3.63,100.39,0.52,0.51,37.3,0.01,33.4,24.66
2024,260,0.03,1.17,9.19,63.86,3.88,100.69,0.51,0.51,29.6,0,35.8,23.08
2024,261,0.03,0.93,7.16,63.47,2.97,100.64,0.51,0.51,358.4,0,35.83,23.16
2024,262,0.03,1.05,8.37,65.1,1.91,100.45,0.51,0.5,10.5,0,36.66,26.01
2024,263,0.03,0.98,7.51,66.9,2.42,100.36,0.5,0.5,18.9,0.01,36.98,25.08
2024,264,0.03,1,7.68,66.01,3.36,100.35,0.5,0.5,20.6,0.02,36.53,26.16
2024,265,0.03,0.99,7.6,56.64,6.27,101.03,0.5,0.5,20.2,0.01,29.31,20.32
2024,266,0.03,1.21,9.67,46.02,4.77,101.47,0.49,0.49,28.4,0,28.89,17.09
2024,267,0.03,1.2,9.68,52.46,2.34,101.37,0.49,0.49,38,0,29.74,15.87
2024,268,0.03,1.23,9.88,53.39,1.02,101.02,0.49,0.49,118.6,0,32.17,17.29
2024,269,0.03,1.07,8.45,55.06,1.05,100.9,0.48,0.49,169.7,0,33.87,18.05
2024,270,0.02,0.89,7,58.01,1.28,100.85,0.48,0.48,114.9,0,34.79,21.62
2024,271,0.02,0.98,8.15,59.09,1.56,100.78,0.48,0.48,115.1,0,35.34,20.17
2024,272,0.03,1.08,8.81,66.48,2.73,100.75,0.48,0.48,117.9,0,35.55,22.51
2024,273,0.03,1.15,9.34,64.22,2.37,100.75,0.48,0.48,118.7,0,35.07,23.97
2024,274,0.02,0.93,7.41,72.59,4.94,101.1,0.48,0.48,10.7,2.17,28.47,16.93
2024,275,0.02,0.68,5.12,46.33,5.3,101.67,0.48,0.48,17.4,0.25,27.18,16.38
2024,276,0.03,1.12,9.1,39.38,3.57,101.87,0.47,0.48,34.5,0.1,27.56,12.53
2024,277,0.02,1.06,8.58,41.46,2.77,101.91,0.47,0.47,51.8,0,27.05,11.32
2024,278,0.02,1.02,8.18,49.72,1.79,101.76,0.47,0.47,93.7,0,28.16,13.56
2024,279,0.02,0.86,6.68,48.4,1.87,101.6,0.47,0.47,40.5,0,29.38,15.64
2024,280,0.01,0.61,4.76,57.15,3.26,101.75,0.47,0.47,10.1,0.56,27.08,17.09
2024,281,0.01,0.31,2.29,72.37,2.61,101.97,0.47,0.47,18.9,0.89,22.64,15.08
2024,282,0.02,0.78,6.86,63.88,1.71,101.8,0.47,0.47,65.8,0,27.58,12.8
2024,283,0.02,0.78,6.91,57.13,1.19,101.38,0.47,0.47,227.3,0,30.13,14.97
2024,284,0.01,0.56,4.83,52.78,1.31,101.27,0.47,0.47,31.5,0,32.05,17.78
2024,285,0.02,0.82,7.14,51.41,1.56,101.33,0.47,0.47,92.4,0,30.57,17.02
2024,286,0.02,0.77,6.1,50.8,1.87,101.45,0.47,0.47,87.8,0.58,29.73,19.01
2024,287,0.01,0.31,2.36,68.21,1.42,101.44,0.47,0.47,29.4,7.45,25.39,18.22
2024,288,0.01,0.52,4.02,79.06,0.89,101.31,0.48,0.48,300.5,1.35,26.31,16.95
2024,289,0.01,0.55,4.46,76.74,0.96,101.42,0.48,0.48,37.4,1.06,25.53,16.06
2024,290,0.02,0.66,5.16,80.92,1.81,101.48,0.48,0.48,103.4,2.25,26.48,18.75
2024,291,0.01,0.42,3.19,85.41,2.99,101.06,0.49,0.49,156.1,14.6,27.14,19.98
2024,292,0.02,0.82,6.69,72.1,3.33,101.08,0.53,0.52,348,11.22,30.55,19.3
2024,293,0.01,0.29,2.13,65.71,5.15,102.07,0.52,0.52,37.8,0.66,24.28,14.21
2024,294,0.01,0.46,3.29,68.4,2.96,102.25,0.52,0.51,38.3,7.48,21.45,11.22
2024,295,0.01,0.33,2.35,81.45,2.32,101.82,0.54,0.53,355.1,12.68,21.56,11.08
2024,296,0.01,0.59,4.55,76.02,3.29,102.12,0.56,0.55,4,9.63,21.56,11.77
2024,297,0.02,0.92,7.75,63.27,1.36,102.02,0.56,0.55,93.6,0.28,23.15,9.61
2024,298,0.02,0.91,7.62,57.43,1.66,101.6,0.56,0.55,85,0,24.99,11.28
2024,299,0.02,0.93,7.74,68.02,2.38,101.56,0.55,0.55,56.5,0,25.51,10.43
2024,300,0.01,0.55,4.06,72.77,3.58,101.52,0.55,0.54,22.3,0.13,25.29,12.36
2024,301,0.01,0.49,3.77,67.74,3.37,101.56,0.55,0.54,15.5,0.11,24.96,15.34
2024,302,0.02,0.7,5.79,72.88,1.74,101.49,0.55,0.54,44.1,0.01,24.43,12.16
2024,303,0.02,0.71,6.13,69.47,1.07,101.45,0.54,0.54,115.1,0,25.7,13.96
2024,304,0.02,0.86,7.3,65.5,1.89,101.58,0.54,0.54,93.7,0,25.52,11.77
2024,305,0.02,0.87,7.31,68.29,2.51,101.48,0.54,0.53,30.6,0,24.81,10.42
