ts_code,symbol,name,trade_date,close,pct_chg,amount,amount_yuan,amount_yi,total_mv,total_mv_yuan,total_mv_yi,circ_mv,turnover_rate,turnover_rate_f,volume_ratio,pe,pb,ps,dv_ratio,market,industry,list_date
600595.SH,600595,中孚实业,20260318,7.61,-5.3483,1021928.528,1021928528.0,10.21928528,3050015.7918,30500157917.999996,305.00157917999996,3050015.7918,3.3476,5.6243,1.34,43.3435,1.8281,1.34,,主板,铝,2002-06-26
002734.SZ,002734,利民股份,20260318,20.61,-5.3284,1131484.42,1131484420.0,11.3148442,980705.4651,9807054651.0,98.07054651,895186.6835,12.7868,15.3824,1.15,120.5426,2.5587,2.3144,1.0631,主板,农药化肥,2015-01-27
300607.SZ,300607,拓斯达,20260318,26.5,-5.3233,399306.155,399306155.0,3.99306155,1263976.8918,12639768918.000002,126.39768918000001,879930.9206,4.5218,5.0744,2.23,,4.4369,4.4016,,创业板,专用机械,2017-02-09
002652.SZ,002652,扬子新材,20260318,5.2,-5.2823,611535.671,611535671.0,6.11535671,266273.28,2662732800.0000005,26.627328000000006,266273.28,22.8641,32.6613,1.54,379.9004,10.6187,7.8235,,主板,其他建材,2012-01-19
002175.SZ,002175,东方智造,20260318,3.59,-5.277,550529.51,550529510.0,5.5052951,458364.281,4583642810.0,45.8364281,458364.281,12.146,15.0332,1.01,275.915,5.6662,14.0809,,主板,电器仪表,2007-10-12
300569.SZ,300569,天能重工,20260318,7.64,-5.0932,1203545.914,1203545914.0,12.03545914,781355.9523,7813559523.0,78.13559523,778982.5916,15.3342,19.8339,0.97,,1.5111,2.3872,0.1283,创业板,电气设备,2016-11-25
002150.SZ,002150,正泰电源,20260318,33.1,-5.076,1512830.306,1512830306.0,15.12830306,1194475.7379,11944757379.0,119.44757379,1186783.8772,12.7355,24.9141,1.43,55.0032,5.9656,3.5439,0.3041,主板,机械基件,2007-08-10
603248.SH,603248,锡华科技,20260318,32.39,-5.0703,1548566.723,1548566723.0,15.48566723,1489940.0,14899400000.0,148.994,224491.5854,65.7797,65.7797,1.64,104.9775,6.566,15.605,,主板,机械基件,2025-12-23
300936.SZ,300936,中英科技,20260318,64.0,-5.0304,608771.213,608771213.0,6.08771213,481280.0,4812800000.0,48.128,303745.76,19.7165,29.9297,0.84,152.12,4.8139,17.4771,0.1563,创业板,元器件,2021-01-26
603876.SH,603876,鼎胜新材,20260318,19.91,-4.9642,720052.681,720052681.0,7.20052681,1850171.0211,18501710211.0,185.01710211,1850171.0211,3.8514,7.0258,0.87,61.4489,2.5304,0.7702,0.5028,主板,铝,2018-04-18
603919.SH,603919,金徽酒,20260318,18.96,-4.867,250754.552,250754552.0,2.50754552,961764.9543,9617649543.0,96.17649543,961764.9543,2.5733,6.4722,1.26,24.7783,2.9144,3.1833,2.5829,主板,白酒,2016-03-10
601118.SH,601118,海南橡胶,20260318,7.11,-4.8193,667083.036,667083036.0,6.67083036,3042673.1637,30426731637.0,304.26731637,3042673.1637,2.1821,6.1218,0.8,294.2936,3.1385,0.6125,0.1533,主板,橡胶,2011-01-07
